crop_name,market_name,price_ksh,unit,date
Maize,Wakulima Market,2400,90kg bag,2026-05-20
Maize,Eldoret Wholesale,3100,90kg bag,2026-05-20
Maize,Kitale Market,2800,90kg bag,2026-05-20
Maize,Kisumu Main Market,2600,90kg bag,2026-05-20
Maize,Nakuru Market,2900,90kg bag,2026-05-20
Tomatoes,Wakulima Market,110,kg,2026-05-20
Tomatoes,Kisumu Main Market,85,kg,2026-05-20
Tomatoes,Nakuru Market,95,kg,2026-05-20
Tomatoes,Mombasa Kongowea,130,kg,2026-05-20
Tomatoes,Eldoret Wholesale,100,kg,2026-05-20
Beans,Wakulima Market,7200,90kg bag,2026-05-20
Beans,Eldoret Wholesale,8500,90kg bag,2026-05-20
Beans,Kitale Market,7800,90kg bag,2026-05-20
Beans,Nakuru Market,7500,90kg bag,2026-05-20
Potatoes,Nakuru Market,2200,50kg bag,2026-05-20
Potatoes,Wakulima Market,2600,50kg bag,2026-05-20
Potatoes,Nyeri Central Market,1900,50kg bag,2026-05-20
Potatoes,Eldoret Wholesale,2400,50kg bag,2026-05-20
Avocado,Mombasa Kongowea,180,kg,2026-05-20
Avocado,Wakulima Market,120,kg,2026-05-20
Avocado,Kisumu Main Market,90,kg,2026-05-20
Sorghum,Kisumu Main Market,3200,90kg bag,2026-05-20
Sorghum,Eldoret Wholesale,3600,90kg bag,2026-05-20
Milk,Nakuru Market,55,litre,2026-05-20
Milk,Wakulima Market,65,litre,2026-05-20
